,Fecha,Medidor [W]
0,8/7/2018 0:00,210.365
1,8/7/2018 0:01,246.814
2,8/7/2018 0:02,210.651
3,8/7/2018 0:03,231.878
4,8/7/2018 0:04,179.724
5,8/7/2018 0:05,200.295
6,8/7/2018 0:06,200.36
7,8/7/2018 0:07,200.36
8,8/7/2018 0:08,200.36
9,8/7/2018 0:09,200.36
10,8/7/2018 0:10,189.987
11,8/7/2018 0:11,353.877
12,8/7/2018 0:12,293.32
13,8/7/2018 0:13,102.946
14,8/7/2018 0:14,104.1
15,8/7/2018 0:15,102.668
16,8/7/2018 0:16,101.966
17,8/7/2018 0:17,100.678
18,8/7/2018 0:18,101.208
19,8/7/2018 0:19,101.272
20,8/7/2018 0:20,103.357
21,8/7/2018 0:21,103.697
22,8/7/2018 0:22,104.99
23,8/7/2018 0:23,105.404
24,8/7/2018 0:24,104.866
25,8/7/2018 0:25,100.614
26,8/7/2018 0:26,100.066
27,8/7/2018 0:27,100.882
28,8/7/2018 0:28,101.038
29,8/7/2018 0:29,101.038
30,8/7/2018 0:30,103.386
31,8/7/2018 0:31,104.79
32,8/7/2018 0:32,106.606
33,8/7/2018 0:33,103.276
34,8/7/2018 0:34,102.288
35,8/7/2018 0:35,101.38
36,8/7/2018 0:36,101.153
37,8/7/2018 0:37,102.918
38,8/7/2018 0:38,102.257
39,8/7/2018 0:39,102.668
40,8/7/2018 0:40,261.325
41,8/7/2018 0:41,239.442
42,8/7/2018 0:42,239.359
43,8/7/2018 0:43,239.815
44,8/7/2018 0:44,241.717
45,8/7/2018 0:45,244.417
46,8/7/2018 0:46,241.835
47,8/7/2018 0:47,238.321
48,8/7/2018 0:48,243.461
49,8/7/2018 0:49,241.936
50,8/7/2018 0:50,244.974
51,8/7/2018 0:51,242.59
52,8/7/2018 0:52,244.057
53,8/7/2018 0:53,243.794
54,8/7/2018 0:54,246.746
55,8/7/2018 0:55,246.182
56,8/7/2018 0:56,245.856
57,8/7/2018 0:57,242.917
58,8/7/2018 0:58,242.252
59,8/7/2018 0:59,242.268
60,8/7/2018 1:00,243.038
61,8/7/2018 1:01,241.554
62,8/7/2018 1:02,241.043
63,8/7/2018 1:03,238.319
64,8/7/2018 1:04,239.578
65,8/7/2018 1:05,239.894
66,8/7/2018 1:06,238.662
67,8/7/2018 1:07,235.889
68,8/7/2018 1:08,237.137
69,8/7/2018 1:09,238.454
70,8/7/2018 1:10,238.244
71,8/7/2018 1:11,203.057
72,8/7/2018 1:12,203.057
73,8/7/2018 1:13,203.057
74,8/7/2018 1:14,203.057
75,8/7/2018 1:15,203.057
76,8/7/2018 1:16,203.057
77,8/7/2018 1:17,203.057
78,8/7/2018 1:18,203.057
79,8/7/2018 1:19,203.057
80,8/7/2018 1:20,203.057
81,8/7/2018 1:21,203.057
82,8/7/2018 1:22,203.057
83,8/7/2018 1:23,203.057
84,8/7/2018 1:24,203.057
85,8/7/2018 1:25,203.057
86,8/7/2018 1:26,203.057
87,8/7/2018 1:27,203.057
88,8/7/2018 1:28,203.057
89,8/7/2018 1:29,203.057
90,8/7/2018 1:30,203.057
91,8/7/2018 1:31,203.057
92,8/7/2018 1:32,203.057
93,8/7/2018 1:33,203.057
94,8/7/2018 1:34,203.057
95,8/7/2018 1:35,203.057
96,8/7/2018 1:36,203.057
97,8/7/2018 1:37,203.057
98,8/7/2018 1:38,203.057
99,8/7/2018 1:39,203.057
100,8/7/2018 1:40,203.057
101,8/7/2018 1:41,203.057
